Over_Range,cumalitive over,RUN_RATE,Wickets left,Cumulative_sum,Actual RUN,s/r over range,current_pred_method,error,abs_error
A,4,12,10,48,204,200,240,-36,36
A,4,3.75,9,15,182,62.5,75,107,107
A,4,6,10,24,169,100,120,49,49
A,4,6.25,10,25,211,104.1666667,125,86,86
A,4,7.25,10,29,177,120.8333333,145,32,32
A,4,10.25,9,41,176,170.8333333,205,-29,29
B,8,9.75,9,78,204,162.5,195,9,9
B,8,4.62,8,37,182,77.08333333,92.44,89.56,89.56
B,8,7.87,9,63,169,131.25,157.44,11.56,11.56
B,8,9.5,10,76,211,158.3333333,190,21,21
B,8,9.5,9,76,177,158.3333333,190,-13,13
B,8,8,9,64,176,133.3333333,160,16,16
C,12,10.91,8,131,204,181.9444444,218.28,-14.28,14.28
C,12,6.5,8,78,182,108.3333333,130,52,52
C,12,8.25,8,99,169,137.5,165,4,4
C,12,9,8,108,211,150,180,31,31
C,12,8.58,7,103,177,143.0555556,171.64,5.36,5.36
C,12,9.25,8,111,176,154.1666667,185,-9,9
D,16,10.31,6,165,204,171.875,206.24,-2.24,2.24
D,16,8.56,8,137,182,142.7083333,171.24,10.76,10.76
D,16,8.18,8,131,169,136.4583333,163.72,5.28,5.28
D,16,9.31,7,149,211,155.2083333,186.24,24.76,24.76
D,16,8.18,6,131,177,136.4583333,163.72,13.28,13.28
D,16,8.37,7,134,176,139.5833333,167.48,8.52,8.52
E,20,10.2,5,204,204,170,204,0,0
E,20,9.1,7,182,182,151.6666667,182,0,0
E,20,8.45,5,169,169,140.8333333,169,0,0
E,20,10.55,6,211,211,175.8333333,211,0,0
E,20,8.85,5,177,177,147.5,177,0,0
E,20,8.8,6,176,176,146.6666667,176,0,0
